database_id,searchName,scientificName,decimalLatitude,decimalLongitude,occurrenceID,basisOfRecord,verbatimEventDate,year,country,stateProvince,locality,identifiedBy,coordinateUncertaintyInMeters,recordedBy
GBIF_1,1,"Aparatrigona impunctata (Ducke, 1916)",6.493333,-58.215,657602839,PRESERVED_SPECIMEN,2001-06-10T00:00:00Z,2001,Guyana,Region 10,"Georgetown, 40.5 km SW, Soesdyke, rd. to Linden","Gonzalez, Victor",NA,"Brooks, R & Falin, Z"
GBIF_2,1,"Aparatrigona impunctata (Ducke, 1916)",6.493333,-58.215,657638667,PRESERVED_SPECIMEN,2001-06-10T00:00:00Z,2001,Guyana,Region 10,"Georgetown, 40.5 km SW, Soesdyke, rd. to Linden","Gonzalez, Victor",NA,"Brooks, R & Falin, Z"
GBIF_3,1,"Aparatrigona impunctata (Ducke, 1916)",6.493333,-58.215,657660256,PRESERVED_SPECIMEN,2001-06-10T00:00:00Z,2001,Guyana,Region 10,"Georgetown, 40.5 km SW, Soesdyke, rd. to Linden","Gonzalez, Victor",NA,"Brooks, R & Falin, Z"
GBIF_4,1,"Aparatrigona impunctata (Ducke, 1916)",6.493333,-58.215,657670192,PRESERVED_SPECIMEN,2001-06-10T00:00:00Z,2001,Guyana,Region 10,"Georgetown, 40.5 km SW, Soesdyke, rd. to Linden","Gonzalez, Victor",NA,"Brooks, R & Falin, Z"
GBIF_5,1,"Aparatrigona impunctata (Ducke, 1916)",6.493333,-58.215,657671190,PRESERVED_SPECIMEN,2001-06-10T00:00:00Z,2001,Guyana,Region 10,"Georgetown, 40.5 km SW, Soesdyke, rd. to Linden","Gonzalez, Victor",NA,"Brooks, R & Falin, Z"
GBIF_6,1,"Aparatrigona impunctata (Ducke, 1916)",6.493333,-58.215,657676014,PRESERVED_SPECIMEN,2001-06-10T00:00:00Z,2001,Guyana,Region 10,"Georgetown, 40.5 km SW, Soesdyke, rd. to Linden","Gonzalez, Victor",NA,"Brooks, R & Falin, Z"
GBIF_7,1,"Aparatrigona impunctata (Ducke, 1916)",6.493333,-58.215,657693722,PRESERVED_SPECIMEN,2001-06-10T00:00:00Z,2001,Guyana,Region 10,"Georgetown, 40.5 km SW, Soesdyke, rd. to Linden","Gonzalez, Victor",NA,"Brooks, R & Falin, Z"
GBIF_8,1,"Aparatrigona impunctata (Ducke, 1916)",6.493333,-58.215,657702391,PRESERVED_SPECIMEN,2001-06-10T00:00:00Z,2001,Guyana,Region 10,"Georgetown, 40.5 km SW, Soesdyke, rd. to Linden","Gonzalez, Victor",NA,"Brooks, R & Falin, Z"
GBIF_9,1,"Aparatrigona impunctata (Ducke, 1916)",6.493333,-58.215,657705560,PRESERVED_SPECIMEN,2001-06-10T00:00:00Z,2001,Guyana,Region 10,"Georgetown, 40.5 km SW, Soesdyke, rd. to Linden","Gonzalez, Victor",NA,"Brooks, R & Falin, Z"
GBIF_10,1,"Aparatrigona impunctata (Ducke, 1916)",6.493333,-58.215,657705243,PRESERVED_SPECIMEN,2001-06-10T00:00:00Z,2001,Guyana,Region 10,"Georgetown, 40.5 km SW, Soesdyke, rd. to Linden","Gonzalez, Victor",NA,"Brooks, R & Falin, Z"
