search_name,uuid,occurrenceid,catalognumber,family,genus,scientificname,country,stateprovince,geopoint.lon,geopoint.lat,datecollected,collector,recordset,year
Aparatrigona impunctata,0198d341-99e4-4934-a798-d4a7cde31c96,5e71384b-d823-4915-9339-1e4283c209bf,1370460,apidae,paratrigona,aparatrigona impunctata,french guiana,NA,-52.75266,5.04775,NA,"roubik, david",568e209f-d072-4fd6-8b64-27954b0fd731,NA
Aparatrigona impunctata,034bae4e-c9bd-4083-b34b-be4a93951b71,f3e9107c-e226-4cf5-8cf5-adfb8169da44,1370448,apidae,paratrigona,aparatrigona impunctata,ecuador,sucumbios,-76.4597222,-0.4705556,NA,"hibbs, p",568e209f-d072-4fd6-8b64-27954b0fd731,NA
Aparatrigona impunctata,06a538f7-1990-473b-99e8-5bbb55a126b6,7ec6481d-fa5e-4bd9-bded-63aa327306eb,inpa-hym 006017,apidae,paratrigona,aparatrigona impunctata,brasil,roraima,-61.7,3.4,NA,"rafael, josé; et al.",00038086-3303-4b89-b2d6-1b84e7598f0e,NA
Aparatrigona impunctata,07f38248-9d1d-4cca-bc6f-96de992a239f,cdb5e556-590a-438f-88db-df0c5fd92d64,1370434,apidae,paratrigona,aparatrigona impunctata,ecuador,sucumbios,-76.4597222,-0.4705556,NA,"hibbs, p",568e209f-d072-4fd6-8b64-27954b0fd731,NA
Aparatrigona impunctata,090f1353-3bd8-40ee-aa76-858ae92ef81e,5ec0aecb-2230-4852-8407-f114a40051cc,1370429,apidae,paratrigona,aparatrigona impunctata,ecuador,sucumbios,-76.4597222,-0.4705556,NA,"hibbs, p",568e209f-d072-4fd6-8b64-27954b0fd731,NA
Aparatrigona impunctata,0d2d1527-1eea-4301-a467-8b5ac943d74b,a1521dac-2c07-49bd-943b-b68c2d8744ef,1370462,apidae,paratrigona,aparatrigona impunctata,french guiana,NA,-52.71416,5.0860900000000004,NA,"roubik, david",568e209f-d072-4fd6-8b64-27954b0fd731,NA
Aparatrigona impunctata,0dc771d7-5bd2-4ba6-a0cd-77aa0776839c,8fe11665-970c-4556-83ae-2d5617e61316,1370455,apidae,paratrigona,aparatrigona impunctata,brazil,para,NA,NA,NA,camargo,568e209f-d072-4fd6-8b64-27954b0fd731,NA
Aparatrigona impunctata,0e50ee40-3139-4d2e-ba3c-5e20dbe9b155,1a131d0a-8324-4b2d-8ae0-e61fef2fd673,1370435,apidae,paratrigona,aparatrigona impunctata,ecuador,sucumbios,-76.4597222,-0.4705556,NA,"hibbs, p",568e209f-d072-4fd6-8b64-27954b0fd731,NA
Aparatrigona impunctata,141d331e-ad95-4362-a970-a8305efb4fba,fada191c-b552-4705-9ac2-e8a4b4e3ef3f,1370412,apidae,paratrigona,aparatrigona impunctata,french guiana,NA,-52.71416,5.2139,NA,"michener, charles",568e209f-d072-4fd6-8b64-27954b0fd731,NA
Aparatrigona impunctata,1513d5bf-f72f-43a2-bd2f-c7357829792a,b4641d84-977a-4982-81ed-04a8da5fa68f,inpa-hym 006023,apidae,paratrigona,aparatrigona impunctata,brasil,amazonas,NA,NA,NA,"rafael, josé",00038086-3303-4b89-b2d6-1b84e7598f0e,NA
Aparatrigona impunctata,182c4417-1578-4552-bbea-5dc36ac0eb50,1149ebdc-4fd9-43b3-beaa-09a178672b2f,1370396,apidae,paratrigona,aparatrigona impunctata,french guiana,NA,-52.71416,5.2139,NA,"michener, charles",568e209f-d072-4fd6-8b64-27954b0fd731,NA
Aparatrigona impunctata,1b04f070-dabc-4d9f-9096-872d7fe9a0c0,c0212da9-58fe-48d6-b264-823a876dff9b,1370461,apidae,paratrigona,aparatrigona impunctata,french guiana,NA,-52.71416,5.0860900000000004,NA,"roubik, david",568e209f-d072-4fd6-8b64-27954b0fd731,NA
Aparatrigona impunctata,1f35f934-9467-44a7-8152-7bff92321e32,244a3058-4195-47ab-b0d8-bfda5b0affb8,inpa-hym 006034,apidae,paratrigona,aparatrigona impunctata,brasil,amazonas,NA,NA,NA,"garcia, marcos",00038086-3303-4b89-b2d6-1b84e7598f0e,NA
Aparatrigona impunctata,1f3bb1d6-c930-4c2b-9796-fc92f48d5ecb,2d33c306-3711-4a82-9c95-1073e7a40674,1370425,apidae,paratrigona,aparatrigona impunctata,french guiana,NA,-52.71416,5.2139,NA,"michener, charles",568e209f-d072-4fd6-8b64-27954b0fd731,NA
